,Apartment name,Distance from  WSU (miles),Address,No. of avaliable unit sizes,furnished,Do sharing avaliable,Bills not included in the rent,Bills paid by the management,Amentities provided by the management,Required guarantor,Required SSN,Require security deposit,Documents required for application,Rental insurance required,free parking lot available,Minimum lease term availability in months,In unit washer or dyer,Pets allowed,location,LATITUDE,LONGITUDE
5,Aspen Heights,1,"4910 E 21st St, Wichita, KS 67208 ",https://docs.google.com/spreadsheets/d/1DRpTGPjpcmcBEo1XeHHic9MkyhlIJjxHmnjBg6NDqNQ/edit#gid=617532481&range=7:7,Yes,Yes,"Property Liability insurance, Garbage","Internet, Electricity(upto $30) , Water (upto $12)","
24-Hour Fitness Center,Resort Style Swimming Pool,Business Center,On-Site Maintenance,Fun Resident Events,
Convenient Bus Service,Individual & Group Study Rooms,Computer Lab w/ 24-hr Printing,Free Parking for Residents,Tanning Bed",No,No,No,"SSN or I-20 or DS-2019 from The US Department of Justice or The Department of Homeland Security.
If applying from outside the US, a valid F-1 or J-1 Visa is required.",No,Yes,12,Yes,Yes,"4910, East 21st Street North, Wichita, Sedgwick County, Kansas, 67208, United States",37.72302877777778,-97.27984588888889
6,Barclay Square Apartments,4.1,"550 W Central Ave Wichita, KS 67203",https://docs.google.com/spreadsheets/d/1DRpTGPjpcmcBEo1XeHHic9MkyhlIJjxHmnjBg6NDqNQ/edit#gid=617532481&range=8:8,Yes,Yes,"Electricity, water","wifi, gym, pool","Club House, Covered Parking, Laundry, Private Swimming Pool, 24 Hour Emergency Maintenance, All Electric, ",No,No,Yes,"i20,leasing history",No,Yes,6,Yes,Yes,"550, West Central Avenue, Wichita, Sedgwick County, Kansas, 67203, United States",37.69195495886315,-97.34644931248756
7,Bluestem Apartments,4.7,"3032 Arkansas Ave Wichita, KS 67204",https://docs.google.com/spreadsheets/d/1DRpTGPjpcmcBEo1XeHHic9MkyhlIJjxHmnjBg6NDqNQ/edit#gid=617532481&range=9:9,yes,yes,"water,electricity",,"range,refrigirator,carpet,storage space,floor tiles,smoke free,oven,high speed internet access",NO,YES,YES,"i20,leasing or bank statement",NO,YES,6,NO,YES,"3032, Arkansas Avenue, Wichita, Sedgwick County, Kansas, 67204, United States",37.73811555102041,-97.3447316122449
8,Bradford Glen  Apartments,3.3,"888 S Hydraulic Ave Wichita, KS 67211",https://docs.google.com/spreadsheets/d/1DRpTGPjpcmcBEo1XeHHic9MkyhlIJjxHmnjBg6NDqNQ/edit#gid=617532481&range=10:10,Yes,Yes,"Electricity, water","gym, pool","On-site Laundry, Refrigerator, Pool, On Bus Line, Dishwasher, Range / Oven, Microwave, Freezer, Cable-ready, High-speed Internet, Stove",No,No,YES,"Photo ID, I20",No,YES,9,NO,YES,"South Hydraulic Avenue, Wichita, Sedgwick County, Kansas, 67211, United States",37.660823,-97.317164
9,Brickstone at Woodlawn,1.2,"2323 N Woodlawn Blvd, Wichita, KS 67220",https://docs.google.com/spreadsheets/d/1DRpTGPjpcmcBEo1XeHHic9MkyhlIJjxHmnjBg6NDqNQ/edit#gid=617532481&range=11:11,Yes,Yes,"Electricity, Wifi, Water","Free wifi, pool access, gym, basketball
court","Refrigerator, Air conditioner, Dish washer, walk-in closets, dish washer, on-site property manager, Balcony, carpet, playing area, sitouts,
gym ,laundry, swimming pool, free wifi, microwave, stove",Yes,Yes,Yes,"Photo ID, Proof of Income",Yes,Yes,12,Yes,Yes,"2323, North Woodlawn Boulevard, Wichita, Sedgwick County, Kansas, 67220, United States",37.72557894545455,-97.26240785454546
10,Calvary Tower Apartments,1.8,"2600 N Grove St, Wichita, KS 67219","600 Square feet(Studio,1 bath)",Yes,Yes,"water,electricity,gas",Yes,"Laundry, courtyard, air conditioning, refrigerator, dishwasher, microwave, ceiling fans, garbage disposal, Oven",No,No,Yes,Yes,,,12,,,"2600, North Grove Street, Ridgecrest, Wichita, Sedgwick County, Kansas, 67219, United States",37.730128,-97.308055
11,Carter Apartments,4,"928 Carter St Wichita, KS 67203","400 Square feet(Studio,1 bath)",Yes,Yes,"water,electricity,gas",Yes,"Laundry facilities,Playground,Basketball court,Oven,Refrigerator,Internet,Air conditioner,Heating",No,No,Yes,Yes,,Yes,12,No,Yes,"928, Carter Street, Riverside, Wichita, Sedgwick County, Kansas, 67203, United States",37.69976985714286,-97.35006142857142
12,Central park Apartments,3.6,"1516 E 3rd St, Wichita, KS 67214","384 Sq ft(Studio,1 bath), 500 Sq ft(1 bed,1 bath)",Yes,Yes,"water electricty,gas",Yes,"Internet,Air conditioner,Range,Refrigerator,Smoke Free,Wheelchair Accessible",No,Yes,yes,Yes,,Yes,12,No,Yes,"East 3rd Street, Wichita, Sedgwick County, Kansas, 67230, United States",37.691551,-97.2
13,Central Park Village Apartments,2.4,"1520 E 17th St N, Wichita, KS 67214","612 SF(2 Bed,1 bath),1200 SF(3 Bed,1 Bath)",Yes,Yes,"Gas,electricity,water",Yes,"Internet,Air conditioner,Freezer,Refrigerator,Smoke Free,Wheelchair Accessible,Heating,Kitchen,Oven,Recreation room,Walk in closets",No,No,yes,Yes,,Yes,12,No,Yes,"1520, East 17th Street North, Wichita, Sedgwick County, Kansas, 67214, United States",37.71545160901314,-97.32016045162348
14,Chisholm Lake Apartments,3.2,"3450 N Ridgewood St, Wichita, KS 67220","730 SF(1 Bed,1 Bath),1010 SF(2 Bed,1 Bath),1138 SF(3 Bed,2 Bath)",Yes,Yes,"Water,Gas electricity",Yes,"Pet washing facility,Fitness Facility,Basketball Court,Clubhouse,Patio/Balcony,Refrigerator,Dishwasher,Microwave",no,Yes,yes,Yes,,Yes,12,Yes,Yes,"3450, North Ridgewood Street, Wichita, Sedgwick County, Kansas, 67220, United States",37.74798641608757,-97.27288035746159
15,Commodore Apartments,3.4,"222 E Elm St, Wichita, KS 67214","2 - (Bed: Studio, Both: 1,Sq. Ft: 300-637 and Bed: 1, Both: 1, Sq. Ft: 637)",Yes,Yes,Yes,Yes,"Off Street Parking, On-Site Maintenance, Online resident services, On-Site Management, Community Laundry, flexible security deposit program, Elevator, Renovated Units Available, Efficient Appliances, Large Closets, Cable Ready, Hardwood Floors, Refrigerator, Stove",No,Yes,Yes,Yes,No,Yes,12,No,Yes,"Commodore Apartments, 222, East Elm Street, Wichita, Sedgwick County, Kansas, 67214, United States",37.6949897,-97.33601142476655
16,Cross Creek Apartments,3.2,"7750 E 32nd St N, Wichita, KS 67226","5 - (1 Bed I 1 Bath I 720 Sq. Ft., 2 Beds I 1 Bath | 920 Sq. Ft., 2 Beds I 1.5 Baths | 960 Sq. Ft., 3 Beds | 1.5 Baths I 1,280 Sq. Ft., 3 Beds | 2 Baths | 1,060 Sq. Ft.)",Yes,Yes,Yes,Yes,"Well-Lit Walking Paths, Picnic Area with BBQ Grills, Fenced Dog Park, Convenient Location, On-Site Laundry Facility, Outdoor Basketball Court, Off~Street Parking, Online Rental Payments, Flex Rental Payments.",No,Yes,Yes,Yes,No,Yes,12,Yes,Yes,"7750, East 32nd Street North, Wichita, Sedgwick County, Kansas, 67226, United States",37.74286479118431,-97.24744077946235
