,RESTAURANT NAME,DISTANCE FROM WSU,ADDRESS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,TYPE,RATINGS_OUTOF5,NUM_REVIEWS,MIN_COST,MAX_COST,ON_CAMPUS,Hours_Monday,Hours_Tuesday,Hours_Wednesday,Hours_Thursday,Hours_Friday,Hours_Saturday,Hours_Sunday,TotalHours,location,LATITUDE,LONGITUDE
0,Social Tap Drinkery,0.3,"4510 E 19th St N, Wichita, KS 67208",11AM-11PM,11AM-11PM,11AM-11PM,11AM-11PM,11AM-11PM,11AM-11PM,11AM-8PM,Bar and restaurant,4.4,260,10.0,20.0,True,12.0,12.0,12.0,12.0,12.0,12.0,9.0,81.0,"East 19th Street North, College Terrace, Wichita, Sedgwick County, Kansas, 67260, United States",37.718593,-97.303609
1,sonic drive in,0.05,"2939 E 21st St N, Wichita, KS 67214",6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,7AM-11PM,7AM-11PM,Fast Food restaurant,3.7,1291,1.0,10.0,False,17.0,17.0,17.0,17.0,17.0,16.0,16.0,117.0,"2939, East 21st Street North, Wichita, Sedgwick County, Kansas, 67214, United States",37.7226627755102,-97.30201781632653
2,Sungrano,0.3,"4510 E 19th St N, Wichita, KS 67208",11AM-10PM,11AM-10PM,11AM-10PM,11AM-10PM,11AM-10PM,11AM-10PM,11AM-8PM,Pizza restaurant,4.2,18,,,True,11.0,11.0,11.0,11.0,11.0,11.0,9.0,75.0,"East 19th Street North, College Terrace, Wichita, Sedgwick County, Kansas, 67260, United States",37.718593,-97.303609
3,Fuzz's taco shop,0.3,"4521 E 21st St N, Wichita, KS 67208",10:30AM-10:30PM,10:30AM-10:30PM,10:30AM-10:30PM,10:30AM-11PM,10:30AM-11PM,10:30AM-11PM,11AM-8PM,Tex-Mex resaurant,4.2,704,10.0,20.0,True,12.0,12.0,12.0,12.5,12.5,12.5,9.0,82.5,"4521, East 21st Street North, Wichita, Sedgwick County, Kansas, 67214, United States",37.72282537931034,-97.28385744827585
4,Magnolia café wichita,1.3,"2424 N Woodlawn Blvd, Wichita, KS 67220",0,11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,"9AM-2PM,5-9PM",9AM-2PM,café,4.3,291,10.0,20.0,False,,10.0,10.0,10.0,10.0,5.0,5.0,50.0,"2424, North Woodlawn Boulevard, Wichita, Sedgwick County, Kansas, 67208, United States",37.72638614285714,-97.26220385714285
5,chick-fil-A,0.4,"1845 Fairmount St, Wichita, KS 67260",6:30AM-10PM,6:30AM-10PM,6:30AM-10PM,6:30AM-10PM,6:30AM-10PM,6:30AM-10PM,0,Fast Food restaurant,4.2,285,1.0,10.0,True,15.5,15.5,15.5,15.5,15.5,15.5,,93.0,"Wichita State University, 1845, Fairmount Street, Wichita, Sedgwick County, Kansas, 67260, United States",37.71934295,-97.28988783173023
6,prost,1.8,"2721 E Central Ave, Wichita, KS 67214",0,11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,0,German restaurant,4.6,1293,10.0,20.0,False,,10.0,10.0,10.0,10.0,10.0,,50.0,"2721, East Central Avenue, Wichita, Sedgwick County, Kansas, 67214, United States",37.69358551063829,-97.3044890212766
7,Five guys,3.4,"2929 N Rock Rd, Wichita, KS 67226",11AM-10PM,11AM-10PM,11AM-10PM,11AM-10PM,11AM-10PM,11AM-10PM,11AM-10PM,Fast Food restaurant,4.4,1172,10.0,20.0,False,11.0,11.0,11.0,11.0,11.0,11.0,11.0,77.0,"2929, North Rock Road, Wichita, Sedgwick County, Kansas, 67226, United States",37.73585299766736,-97.2447538997117
8,Georges french bistro,1.6,"4618 E Central Ave, Wichita, KS 67208",4PM-10PM,4PM-10PM,4PM-10PM,4PM-10PM,4PM-10PM,4PM-11PM,0,french restaurant,4.7,1575,50.0,100.0,False,6.0,6.0,6.0,6.0,6.0,7.0,,37.0,"4618, East Central Avenue, Forest Hills, Wichita, Sedgwick County, Kansas, 67208, United States",37.69386610204082,-97.2824639387755
9,spangles,0.9,"6120 E 21st St N, Wichita, KS 67208",6:30AM-10PM,6:30AM-10PM,6:30AM-10PM,6:30AM-10PM,6:30AM-10PM,6:30AM-10PM,7AM-10PM,Fast Food restaurant,4.1,661,1.0,10.0,False,15.5,15.5,15.5,15.5,15.5,15.5,15.0,108.0,"Spangles, 6120, East 21st Street North, Minneha, Wichita, Sedgwick County, Kansas, 67208, United States",37.723439299999995,-97.26496195
